date,title,amount
2026-01-21,Hna*Oboticario - Parcela 3/4,61.33
2026-01-19,Studio Z - Parcela 2/3,106.66
2026-01-14,Mp *Ourofino - Parcela 2/12,345.83
2026-01-13,Alura - Parcela 12/12,92.00
2026-01-13,Drogarias Globo - Parcela 2/2,124.73
2026-01-13,Youcom - Parcela 2/5,121.94
2026-01-10,Parcelamento de Compra - Claude.Ai Subscription - 4/4,291.22
2026-01-10,Andressa Oliveira Pereira Rosa - 3/5,112.38
2026-01-09,Planeta Motos - Parcela 2/3,133.33
